一騎当千ExtravaganzaEpoch趙雲子龍CamiVer.WHITE1/6完成品フィギュア[アイズ・プロジェクト]《０５月予約》,商品コード,FIGURE-017786,発売日,１６年０５月未定,ブランド名,AIZU PROJECT(アイズ・プロジェクト),シリーズ名,キャミ・シリーズ,原作名,一騎当千 Extravaganza Epoch,『一騎当千』シリーズ,キャラ名,趙雲子龍,
一騎当千ExtravaganzaEpoch趙雲子龍CamiVer.RED1/6完成品フィギュア[アイズ・プロジェクト]《０５月予約※暫定》,商品コード,FIGURE-017787,発売日,１６年０５月未定,ブランド名,AIZU PROJECT(アイズ・プロジェクト),シリーズ名,キャミ・シリーズ,原作名,一騎当千 Extravaganza Epoch,『一騎当千』シリーズ,キャラ名,趙雲子龍,
TVアニメ「GODEATER」橘サクヤ1/7完成品フィギュア[プラム]《０６月予約》,商品コード,FIGURE-017882,発売日,１６年０６月未定,ブランド名,ピーエムオフィスエー,PLUM(プラム),原作名,GOD EATER,『GOD EATER』シリーズ,キャラ名,橘サクヤ,<li class="selling_price_caption">商品ページQRコード,
ブラック・ブレットティナ・スプラウト～天誅ガールズVer.～1/7完成品フィギュア[プラム]《０７月予約》,備考,※あみあみ限定特典は付きません。,商品コード,FIGURE-017894,発売日,１６年０７月未定,ブランド名,ピーエムオフィスエー,PLUM(プラム),原作名,ブラック・ブレット,キャラ名,ティナ・スプラウト,
【あみあみ限定特典】ブラック・ブレットティナ・スプラウト～天誅ガールズVer.～1/7完成品フィギュア[プラム]《０７月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-017895,発売日,１６年０７月未定,ブランド名,ピーエムオフィスエー,PLUM(プラム),原作名,ブラック・ブレット,キャラ名,ティナ・スプラウト,
ラブライブ！スクールアイドルフェスティバル小泉花陽1/7完成品フィギュア[アルター]《１０月予約》,商品コード,FIGURE-018058,発売日,１６年１０月未定,ブランド名,ALTER(アルター),原作名,ラブライブ！スクールアイドルフェスティバル,『ラブライブ！』シリーズ,キャラ名,小泉花陽,造型師,稲垣洋,
アイドルマスターシンデレラガールズ島村卯月クリスタルナイトパーティVer.1/8完成品フィギュア[グッドスマイルカンパニー]《１０月予約》,商品コード,FIGURE-018124,発売日,１６年１０月未定,ブランド名,グッドスマイルカンパニー,原作名,THE IDOLM＠STER シンデレラガールズ,『THE IDOLM＠STER』シリーズ,キャラ名,島村卯月,造型師,佐々木界,
ヒロインメモリーズきまぐれオレンジ☆ロード鮎川まどか完成品フィギュア[メガハウス]《０９月予約》,商品コード,FIGURE-018268,発売日,１６年０９月下旬,ブランド名,MegaHouse(メガハウス),原作名,きまぐれオレンジ☆ロード,キャラ名,鮎川まどか,造型師,猫丸[山猫亭～nekohouse～], ,
DESKTOPREALMcCOY05ドラゴンボールZ孫悟空＆チチ完成品フィギュア[メガハウス]《０７月予約》,商品コード,FIGURE-018269,発売日,１６年０７月下旬,ブランド名,MegaHouse(メガハウス),シリーズ名,DESKTOP REAL McCOY,原作名,ドラゴンボール,『ドラゴンボール』シリーズ,キャラ名,孫悟空,
【特典】FLOWERKNIGHTGIRLオンシジューム1/7完成品フィギュア[プラム]《０９月予約》,備考,※あみあみ限定特典は付きません。,商品コード,FIGURE-018279,発売日,１６年０９月未定,ブランド名,ピーエムオフィスエー,PLUM(プラム),原作名,フラワーナイトガール,キャラ名,オンシジューム,
